,Unnamed: 0,Event Title,Organizer,Artists,Location,Venue Name,Venue Link,Heure,Date,Price,Event Link,Genres
176,176,PROJET X NEW YEAR 2024 THE BIG PARTY ( 2 SALLES 2 AMBIANCES),BK PRODUCTIONS,,"34 - 36 Rue du Départ, 75015 Paris, France",Redlight,"https://www.google.com/maps/search/Redlight%2C%2034%20-%2036%20Rue%20du%20D%C3%A9part%2C%2075015%20Paris%2C%20France/@48.8417417,2.3220625,17z",22:00 à 05:00,2023-12-31,"42,00 €",https://shotgun.live/events/projet-x-new-year-2024-the-big-party-2-salles-2-ambiances,
177,177,LE PLUS GRAND NOUVEL AN HIP HOP DE FRANCE + 2000 PERSONNES,BK PRODUCTIONS,,"3 Port des Champs-Élysées, 75008 Paris, France",Bridge Club,"https://www.google.com/maps/search/Bridge%20Club%2C%203%20Port%20des%20Champs-%C3%89lys%C3%A9es%2C%2075008%20Paris%2C%20France/@48.8640808,2.3121334,17z",22:00 à 05:00,2023-12-31,"40,95 €",https://shotgun.live/events/le-plus-grand-nouvel-an-hip-hop-de-france-2000-personnes,
178,178,LE + GROS REVEILLON VIP DE FRANCE PRIVATE CLUB 2024,BK PRODUCTIONS,,"40 Rue du Colisée, 75008 Paris, France",Non mentionné,"https://www.google.com/maps/search/40%20Rue%20du%20Colis%C3%A9e%2C%2075008%20Paris%2C%20France/@48.8716518,2.3110872,17z",22:00 à 05:00,2023-12-31,"57,75 €",https://shotgun.live/events/le-gros-reveillon-vip-de-france-private-club-2024,
179,179,PRESTIGE NEW YEAR ELYSEUM ARC VIP CLUB FEU D'ARTIFICE GEANT,BK PRODUCTIONS,,"20 Rue Quentin-Bauchart, 75008 Paris, France",Non mentionné,"https://www.google.com/maps/search/20%20Rue%20Quentin-Bauchart%2C%2075008%20Paris%2C%20France/@48.8704156,2.3019408,17z",22:00 à 05:00,2023-12-31,"42,00 €",https://shotgun.live/events/prestige-new-year-elyseum-arc-vip-club-feu-d-artifice-geant,
180,180,Nouvel An Cagole Nomade,Le Hasard Ludique,Sugar Tantine,"128 Av. de Saint-Ouen, 75018 Paris, France",Le Hasard Ludique,"https://www.google.com/maps/search/Le%20Hasard%20Ludique%2C%20128%20Av.%20de%20Saint-Ouen%2C%2075018%20Paris%2C%20France/@48.895697,2.3285964,17z",22:00 à 05:00,2023-12-31,,https://shotgun.live/events/nouvel-an-cagole-nomade,"club, baile funk, dancehall, afro house, jersey club, trap"
181,181,"LE PLUS GRAND REVEILLON LATINO DE FRANCE - UNIQUE, MAGIQUE !",BK PRODUCTIONS,,"Orée du Bois de Vincennes, Avenue de Bel Air, 75012 Paris, France",Nouveau Chalet du Lac,"https://www.google.com/maps/search/Nouveau%20Chalet%20du%20Lac%2C%20Or%C3%A9e%20du%20Bois%20de%20Vincennes%2C%20Avenue%20de%20Bel%20Air%2C%2075012%20Paris%2C%20France/@48.8429063,2.4221006,17z",22:00 à 05:00,2023-12-31,"51,45 €",https://shotgun.live/events/le-plus-grand-reveillon-latino-de-france-unique-magique,
182,182,PRIVATE NEW YEAR LUXURY HOTEL PARTICULIER CLUB GEORGES V,BK PRODUCTIONS,,"40 Av. Pierre 1er de Serbie, 75008 Paris, France",La Calavados,"https://www.google.com/maps/search/La%20Calavados%2C%2040%20Av.%20Pierre%201er%20de%20Serbie%2C%2075008%20Paris%2C%20France/@48.8680049,2.3005798,17z",22:00 à 05:00,2023-12-31,"61,95 €",https://shotgun.live/events/private-new-year-luxury-hotel-particulier-club-georges-v,
183,183,ZAKEAZY EVENT SPECIAL NOUVEL AN 2024,Zakeazy Event,,"Chem. de l'Aubergé, 77123 Noisy-sur-École, France",Le Domaine du Rocher,"https://www.google.com/maps/search/Le%20Domaine%20du%20Rocher%2C%20Chem.%20de%20l'Auberg%C3%A9%2C%2077123%20Noisy-sur-%C3%89cole%2C%20France/@48.3880355,2.5620822,17z",22:00 à 05:00,2023-12-31,"31,50 €",https://shotgun.live/events/zakeazy-event-special-nouvel-an-2024,
184,184,Nouvel An caliente,Poinçon Paris,Captain Cumbia,"124 Av. du Général Leclerc, 75014 Paris, France",Poinçon Paris,"https://www.google.com/maps/search/Poin%C3%A7on%20Paris%2C%20124%20Av.%20du%20G%C3%A9n%C3%A9ral%20Leclerc%2C%2075014%20Paris%2C%20France/@48.8245803,2.3256074,17z",22:00 à 05:30,2023-12-31,"31,50 €",https://shotgun.live/events/nouvel-an-caliente,"salsa, reggaeton"
185,185,LA GIGI SPECIAL NYE,Silencio Des Prés,"Mikano, Yassine Stein, Camporeale, parisiennegyal, DARLEAN, Tysha Cee, Rebequita","22 Rue Guillaume Apollinaire, 75006 Paris, France",Silencio des Prés,"https://www.google.com/maps/search/Silencio%20des%20Pr%C3%A9s%2C%2022%20Rue%20Guillaume%20Apollinaire%2C%2075006%20Paris%2C%20France/@48.8546623,2.3333172,17z",22:00 à 06:00,2023-12-31,"20,00 €",https://shotgun.live/events/la-gigi-special-nye,"electro, house, pop"
